Zip,Lat,Lon,AccessibilityMetric
6214RP,50.845048,5.676645,0.29166250724047366
6214RR,50.844318,5.677209,0.28326275007893065
6214RS,50.845408,5.677581,0.31473069446558194
6214RT,50.845582,5.677572,0.318628213567599
6214RV,50.845795,5.67703,0.31406756967796207
6214RW,50.845975,5.677607,0.3282016017383418
6214RX,50.846102,5.678367,0.34560625900051434
6214RZ,50.845381,5.678541,0.33082436139051485
6214SC,50.84466,5.678093,0.3047146419707398
6214SE,50.844262,5.678115,0.2948461030954978
6214SG,50.844902,5.677796,0.30609956733982946
6214SH,50.844481,5.67627,0.2739487039331928
6214SJ,50.845062,5.677683,0.30818371641978387
6214SK,50.844605,5.676067,0.27384012502025257
6214SL,50.846841,5.67363,0.27896858745859054
6214SM,50.844731,5.675295,0.2660430373057339
6214SN,50.844043,5.675806,0.25850055727582444
6214SP,50.847279,5.672898,0.27433588962926503
6214SR,50.846413,5.673545,0.2716308013218338
6214ST,50.845289,5.674447,0.2652918021283103
6214SV,50.844244,5.675255,0.2558608696461556
6214SW,50.844422,5.674264,0.24717653723036115
6214SX,50.844977,5.674189,0.25636655496624566
6214SZ,50.844859,5.673923,0.25096660700010665
6214TB,50.845387,5.673828,0.2589250094821853
6214TC,50.846251,5.673092,0.2631136114681258
6214TD,50.84614,5.672903,0.25901784870759376
6214TE,50.845694,5.673538,0.260286253429538
6214TG,50.84598,5.672573,0.2525130228252851
6214TH,50.844973,5.673353,0.24607062365591345
6214TJ,50.845569,5.672338,0.24360270122679392
6214TK,50.846097,5.672176,0.24935493527680494
6214TL,50.846841,5.672545,0.2640954467198137
6214TM,50.846126,5.671732,0.24449812503269142
6214TN,50.845421,5.671682,0.23402932524627104
6214TP,50.845319,5.671254,0.2280012251664942
6214TR,50.845163,5.670976,0.22295201827664998
6214TS,50.844377,5.670522,0.20754790609023094
6214TT,50.844574,5.67174,0.2220359975143968
6214TV,50.84372,5.672417,0.21511889850658078
6214TW,50.843526,5.67175,0.20584517287372456
6214TX,50.843375,5.671028,0.19732549423246717
6214TZ,50.844944,5.670313,0.21347910824562102
6214VG,50.843516,5.674234,0.22974944023982913
6214VH,50.844081,5.674839,0.2475189648092018
6214VJ,50.844348,5.672547,0.2267332810897229
6214VK,50.843381,5.672252,0.2080121570950249
6214VL,50.843099,5.671585,0.19772178012479213
6214VM,50.842999,5.672071,0.20020141360233465
6214VN,50.844172,5.670282,0.20254830318366446
6214VS,50.844531,5.666938,0.1807076813613474
6214VT,50.844693,5.666322,0.17811277907767456
6214VV,50.8437,5.664138,0.15432699171944522
6214VW,50.843708,5.665391,0.1616825413282367
6214VX,50.843951,5.665764,0.1665173279369396
6214VZ,50.843835,5.665301,0.16244802120672275
6214XA,50.84191,5.667111,0.15175567036196172
6214XC,50.843853,5.666624,0.17098875783144052
6214XG,50.843812,5.668068,0.18041133712087337
6214XH,50.843796,5.668834,0.18582986832363782
6214XJ,50.843208,5.666996,0.1660751496857564
6214XK,50.842632,5.666135,0.15453836883998373
6214XL,50.842377,5.667427,0.1589785013860636
6214XM,50.842186,5.669683,0.17038397345565753
6214XN,50.842499,5.669356,0.17247865476446297
6214XP,50.842344,5.668221,0.1632856035723369
6214XX,50.84163,5.6677,0.15161600529101257
6214XZ,50.842247,5.665503,0.14704406353727137
6215AC,50.837904,5.659468,0.0891045332942507
6215AD,50.835968,5.654848,0.0690702263772247
6215AE,50.834585,5.651324,0.057275646185420914
6215AG,50.835675,5.65176,0.06305530759902322
6215AH,50.835941,5.653103,0.06635429708224479
6215AJ,50.836289,5.652197,0.06679466240848898
6215AK,50.837318,5.656452,0.07950124431164711
6215BA,50.839659,5.649855,0.0788743211202805
6215BB,50.839571,5.650082,0.07904848607823982
6215BC,50.83947,5.650339,0.07918794855470276
6215BD,50.83932,5.650763,0.07948437141302697
6215BE,50.839211,5.651052,0.07960266636634705
6215BG,50.839056,5.65144,0.07964975137576215
6215BH,50.838939,5.651749,0.07970172555657425
6215BJ,50.83883,5.652034,0.07973086654817178
6215BK,50.8392,5.649114,0.07505402245509364
6215BL,50.839212,5.649108,0.07509180137822684
6215BM,50.83924,5.649137,0.07528264412462299
6215BN,50.839222,5.64912,0.07516385050824385
6215BP,50.839131,5.650064,0.07699264910177266
6215BR,50.839202,5.648526,0.07367574819963858
6215BS,50.838752,5.64872,0.07220420955156355
6215BT,50.841634,5.644541,0.07333706474286356
6215BV,50.83992,5.6467,0.07231603295664474
6215BW,50.841212,5.644281,0.07140093174812097
6215BX,50.840281,5.646437,0.07303711896954722
6215EA,50.842521,5.642968,0.0725098469131503
6215EB,50.842912,5.643626,0.075168559821305
6215EC,50.842485,5.645719,0.07891137738853257
6215ED,50.842668,5.645839,0.07981428657626666
6215EE,50.843075,5.644949,0.0788711837456739
6215EG,50.840207,5.644188,0.06793592784961863
6215EH,50.843258,5.646309,0.08297376509627087
6215EJ,50.841919,5.645209,0.07581277932489239
6215EK,50.843212,5.647141,0.08507754520640624
6215EL,50.842223,5.646109,0.0790176073600765
6215EM,50.84078,5.645139,0.07186508693892965
6215EN,50.84074,5.645802,0.07321430870967509
6215EP,50.840986,5.646839,0.0765125999523431
6215ER,50.840413,5.647134,0.07514073975481046
6215ES,50.841484,5.646566,0.0776151064436795
6215ET,50.841017,5.6475,0.0782513691394392
