Zip,Lat,Lon
6215EG,50.840207,5.644188
6215EH,50.843258,5.646309
6215EJ,50.841919,5.645209
6215EK,50.843212,5.647141
6215EL,50.842223,5.646109
6215EM,50.84078,5.645139
6215EN,50.84074,5.645802
6215EP,50.840986,5.646839
6215ER,50.840413,5.647134
6215ES,50.841484,5.646566
6215ET,50.841017,5.6475
6215EV,50.841465,5.643317
6215EW,50.841648,5.643834
6215EX,50.839409,5.646584
6215EZ,50.839746,5.645551
6215GA,50.840936,5.647943
6215GB,50.841294,5.648058
6215GC,50.840894,5.648352
6215GD,50.840221,5.647583
6215GE,50.841986,5.6471
6215GG,50.842946,5.647846
6215GH,50.843295,5.648077
6215GJ,50.842525,5.647996
6215GK,50.841641,5.648585
6215JA,50.846051,5.649513
6215JB,50.845765,5.646749
6215JC,50.847169,5.647969
6215JD,50.846476,5.645143
6215JE,50.846853,5.645684
6215JG,50.847211,5.646808
6215JH,50.846651,5.646875
6215JJ,50.846664,5.648029
6215JK,50.846641,5.64875
6215JL,50.846634,5.649731
6215JM,50.846734,5.650802
6215JN,50.847224,5.643318
6215JP,50.84646,5.64213
6215JR,50.846247,5.643052
6215JS,50.845984,5.643803
6215JT,50.845899,5.644676
6215JV,50.845259,5.643269
6215KA,50.844458,5.647116
6215KB,50.844453,5.642931
6215KC,50.844524,5.643952
6215KD,50.844682,5.644985
6215KE,50.844807,5.645851
6215KG,50.844911,5.64667
6215KH,50.845018,5.64749
6215KJ,50.845153,5.648307
6215KK,50.84548,5.648845
6215KL,50.845352,5.649948
6215KM,50.84416,5.648137
6215KN,50.843495,5.64382
6215PH,50.84397,5.652397
6215PJ,50.844111,5.652491
6215PK,50.844287,5.652612
6215PL,50.844131,5.652337
6215PM,50.843945,5.651889
6215PN,50.844002,5.651681
6215PP,50.843307,5.650877
6215PR,50.84334,5.651058
6215PS,50.843524,5.651152
6215PT,50.84335,5.650898
6215PV,50.843136,5.650481
6215PW,50.843181,5.650262
6215PX,50.842551,5.649684
6215PZ,50.842379,5.649262
6215RA,50.838255,5.647215
6215RB,50.838469,5.646982
6215RE,50.838407,5.648388
6215RG,50.838816,5.649826
6215RH,50.838384,5.649452
6215RJ,50.837952,5.649034
6215RK,50.837966,5.647946
6215RL,50.837622,5.64734
6215RM,50.837815,5.649746
6215RN,50.837333,5.648503
6215RP,50.838222,5.649886
6215RR,50.837372,5.647694
6215RS,50.83744,5.650215
6215RT,50.838449,5.651318
6215RV,50.837597,5.650628
6215RW,50.83691,5.648976
6215RX,50.837524,5.649918
6215RZ,50.83699,5.648214
6215SC,50.837239,5.650728
6215SE,50.836653,5.64905
6215SG,50.837026,5.647269
6215SH,50.837056,5.646361
6215SJ,50.836451,5.647449
6215SL,50.84214,5.651946
6215SM,50.841887,5.651703
6215SN,50.841485,5.651308
6215SP,50.8413,5.651133
6215SR,50.840886,5.650735
6215ST,50.840633,5.650492
6215SV,50.840042,5.649982
6215SX,50.842669,5.653057
6215SZ,50.840995,5.651917
6215TA,50.84043,5.652306
6215TB,50.841329,5.652759
6215TC,50.8405,5.651963
6215TD,50.842002,5.652942
6215TE,50.841931,5.653817
6215TG,50.842395,5.653733
6215TH,50.842512,5.654113
6215TJ,50.842746,5.654383
6215TK,50.842869,5.654741
6215TL,50.842058,5.655293
6215TM,50.842301,5.655089
6215TN,50.841572,5.655803
6215TP,50.841919,5.655813
6215TR,50.842953,5.655185
6215TS,50.842988,5.655564
6215TT,50.841189,5.657112
6215TV,50.839385,5.65337
6215TW,50.841399,5.656756
6215TX,50.839853,5.653325
6215TZ,50.839076,5.652487
6215VE,50.840816,5.653432
6215VG,50.838144,5.653605
6215VH,50.840152,5.653037
6215VJ,50.840265,5.652742
6215VK,50.839569,5.651339
6215VL,50.838144,5.654747
6215VM,50.838595,5.653544
6215VN,50.838687,5.654375
6215VP,50.839371,5.654302
6215VR,50.839487,5.654
6215VS,50.839057,5.654946
6215VT,50.839172,5.654646
6215VV,50.838839,5.655687
6215VW,50.838955,5.655383
6215VX,50.838711,5.656096
6215VZ,50.839655,5.65529
6215XA,50.840286,5.656516
6215XB,50.840605,5.657164
6215XC,50.841015,5.657765
6215XD,50.840744,5.656375
6215XG,50.840327,5.658101
6215XH,50.839442,5.65803
6215XJ,50.839911,5.658454
6215XK,50.838872,5.658111
6215XL,50.839317,5.658504
6215XM,50.838983,5.659195
6215XN,50.838568,5.658133
6215XP,50.838739,5.659581
6215XR,50.838338,5.658533
6215XS,50.837861,5.657541
6215XT,50.837663,5.6568
6215XV,50.840257,5.658975
6215XW,50.839667,5.659902
6215XX,50.839265,5.660572
6216AB,50.853501,5.658257
6216AC,50.853942,5.656921
6216AD,50.85447,5.655313
6216AE,50.854008,5.657922
6216AG,50.854357,5.656865
6216AH,50.854704,5.655806
6216AJ,50.854041,5.655032
6216AK,50.85377,5.654475
6216AL,50.853069,5.656297
6216AM,50.8533,5.655078
6216AN,50.853812,5.655928
6216AP,50.853755,5.655419
6216AR,50.853582,5.656814
6216AS,50.853535,5.656351
6216AT,50.853302,5.657748
6216AV,50.853239,5.659355
6216AW,50.853372,5.660579
6216AX,50.853543,5.659654
6216AZ,50.852819,5.659761
6216BA,50.852719,5.66051
6216BB,50.85247,5.660958
6216BC,50.852488,5.657499
6216BD,50.852653,5.656539
6216BE,50.852846,5.655419
6216BG,50.853109,5.654147
6216BH,50.851816,5.659246
6216BJ,50.852338,5.658821
6216BK,50.851647,5.660319
6216BL,50.852021,5.660146
6216BM,50.849989,5.659589
6216BN,50.850692,5.659871
6216BR,50.850249,5.668002
6216BS,50.851297,5.667355
6216BT,50.851792,5.666853
6216BV,50.852013,5.666173
6216BW,50.85323,5.663133
6216BX,50.849108,5.668771
6216BZ,50.84912,5.667208
6216CA,50.850198,5.668951
6216CB,50.850057,5.668687
6216CC,50.849907,5.668412
6216CD,50.848932,5.665551
6216CH,50.849758,5.666702
6216CJ,50.849876,5.666849
